date,casa,nombre,compra,venta
2026-07-15,oficial,Oficial,1445,1495
2026-07-15,blue,Blue,1510,1530
2026-07-15,bolsa,Bolsa,1509,1515.7
2026-07-15,contadoconliqui,Contado con liquidación,1562.2,1565.7
2026-07-15,mayorista,Mayorista,1465.5,1474.5
2026-07-15,cripto,Cripto,1560.27,1562.61
2026-07-15,tarjeta,Tarjeta,1878.5,1943.5
2026-07-17,oficial,Oficial,1445,1495
2026-07-17,blue,Blue,1505,1525
2026-07-17,bolsa,Bolsa,1512.7,1515.7
2026-07-17,contadoconliqui,Contado con liquidación,1566.4,1567.7
2026-07-17,mayorista,Mayorista,1467,1476
2026-07-17,cripto,Cripto,1554.67,1557.55
2026-07-17,tarjeta,Tarjeta,1878.5,1943.5
2026-07-18,oficial,Oficial,1450,1500
2026-07-18,blue,Blue,1510,1530
2026-07-18,bolsa,Bolsa,1518.3,1521.9
2026-07-18,contadoconliqui,Contado con liquidación,1572.1,1575.9
2026-07-18,mayorista,Mayorista,1469,1478
2026-07-18,cripto,Cripto,1567.52,1569.85
2026-07-18,tarjeta,Tarjeta,1885,1950
2026-07-19,oficial,Oficial,1450,1500
2026-07-19,blue,Blue,1510,1530
2026-07-19,bolsa,Bolsa,1518.3,1521.9
2026-07-19,contadoconliqui,Contado con liquidación,1572.1,1575.9
2026-07-19,mayorista,Mayorista,1469,1478
2026-07-19,cripto,Cripto,1568.54,1570.68
2026-07-19,tarjeta,Tarjeta,1885,1950
2026-07-20,oficial,Oficial,1450,1500
2026-07-20,blue,Blue,1510,1530
2026-07-20,bolsa,Bolsa,1518.3,1521.9
2026-07-20,contadoconliqui,Contado con liquidación,1572.1,1575.9
2026-07-20,mayorista,Mayorista,1469,1478
2026-07-20,cripto,Cripto,1565.4,1568.04
2026-07-20,tarjeta,Tarjeta,1885,1950
